date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:23	3006/3006	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/javascript/exercises/objects.html	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/javascript/exercises/objects.html	(from http://www.teaching-materials.org/javascript/)
16:06:23	1900/1900	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/javascript/exercises/objectArguments.html	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/javascript/exercises/objectArguments.html	(from http://www.teaching-materials.org/javascript/)
16:06:23	1647/1647	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/javascript/exercises/cashRegister.html	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/javascript/exercises/cashRegister.html	(from http://www.teaching-materials.org/javascript/)
16:06:23	2534/2534	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/javascript/exercises/creditcard.html	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/javascript/exercises/creditcard.html	(from http://www.teaching-materials.org/javascript/)
16:06:24	2094/2094	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/javascript/exercises/validateCreditCardSolution.js	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/javascript/exercises/validateCreditCardSolution.js	(from http://www.teaching-materials.org/javascript/)
16:06:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202017%2021:06:27%20GMT	http://i.creativecommons.org/l/by-sa/3.0/88x31.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/i.creativecommons.org/l/by-sa/3.0/88x31.14.delayed	(from http://www.teaching-materials.org/javascript/)
16:06:24	1621/1621	---M--	200	added ('OK')	image/png	etag:%2213db-4f0c8c2319f40%22	https://licensebuttons.net/l/by-sa/3.0/88x31.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/licensebuttons.net/l/by-sa/3.0/88x31.png	(from http://www.teaching-materials.org/javascript/)
16:06:25	74507/74507	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/css/bootstrap.css	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/css/bootstrap.css	(from http://www.teaching-materials.org/javascript/exercises/loadJavascriptTemplate.html)
16:06:25	9057/9057	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/normalize.css	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/normalize.css	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:25	2158/2158	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/presentation.css	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/presentation.css	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:26	620/620	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/prettify.css	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/prettify.css	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:26	14167/14167	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/js/fathom.js	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/js/fathom.js	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:27	408/408	---MC-	302	error ('FOUND')	text/html	date:Fri,%2005%20May%202017%2021:06:31%20GMT	http://dl.dropbox.com/u/10998095/Screenshots/-21emdw8tl99.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/dl.dropbox.com/u/10998095/Screenshots/-21emdw8tl99.1e.delayed	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:27	410/410	---MC-	302	error ('FOUND')	text/html	date:Fri,%2005%20May%202017%2021:06:31%20GMT	http://dl.dropboxusercontent.com/u/10998095/Screenshots/-21emdw8tl99.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/dl.dropboxusercontent.com/u/10998095/Screenshots/-21emdw8tl99.1f.delayed	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:27	18752/18752	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/js/prettify.js	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/js/prettify.js	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:28	96381/96381	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2017:19:48%20GMT	http://www.teaching-materials.org/common/js/jquery.js	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/www.teaching-materials.org/common/js/jquery.js	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:28	408/408	---MC-	302	error ('FOUND')	text/html	date:Fri,%2005%20May%202017%2021:06:32%20GMT	http://dl.dropbox.com/u/10998095/Screenshots/h31-pn0904xo.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/dl.dropbox.com/u/10998095/Screenshots/h31-pn0904xo.21.delayed	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:29	410/410	---MC-	302	error ('FOUND')	text/html	date:Fri,%2005%20May%202017%2021:06:33%20GMT	http://dl.dropboxusercontent.com/u/10998095/Screenshots/h31-pn0904xo.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/dl.dropboxusercontent.com/u/10998095/Screenshots/h31-pn0904xo.22.delayed	(from http://www.teaching-materials.org/javascript/slides/programming.html)
16:06:30	17194/17194	---M--	200	added ('OK')	image/png	etag:264928n	https://dl.dropboxusercontent.com/u/10998095/Screenshots/-21emdw8tl99.png	C:/MY_DATA/_9_Personal/Javascript/teaching_materials_javascript/Teaching%20Javascript/dl.dropboxusercontent.com/u/10998095/Screenshots/-21emdw8tl99.png_;%20filename_=UTF-8''-21emdw8tl99.png	(from http://www.teaching-materials.org/javascript/slides/programming.html)
